"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DIVISLAB","EQ","26-Jun-2015","       1823.80","       1825.00","       1844.00","       1808.00","       1823.00","       1831.55","       1827.02","      81023","           148030522.15","       6496","      36618","         45.19"
"DIVISLAB","EQ","29-Jun-2015","       1831.55","       1811.00","       1837.95","       1766.90","       1835.00","       1833.00","       1809.16","      96636","           174830218.20","      10338","      50923","         52.70"
"DIVISLAB","EQ","30-Jun-2015","       1833.00","       1844.00","       1895.00","       1836.05","       1887.70","       1879.85","       1862.48","     198361","           369443871.25","      14504","     123809","         62.42"
"DIVISLAB","EQ","01-Jul-2015","       1879.85","       1886.00","       1897.05","       1861.40","       1865.95","       1865.85","       1878.26","     143937","           270351171.95","      15568","      70949","         49.29"
"DIVISLAB","EQ","02-Jul-2015","       1865.85","       1869.00","       1878.00","       1846.85","       1856.25","       1852.80","       1860.43","      61182","           113824792.30","       8755","      28237","         46.15"
"DIVISLAB","EQ","03-Jul-2015","       1852.80","       1852.20","       1874.00","       1850.05","       1860.05","       1859.10","       1862.12","      61143","           113855707.15","      10706","      30895","         50.53"
"DIVISLAB","EQ","06-Jul-2015","       1859.10","       1832.55","       1918.00","       1832.40","       1897.20","       1907.35","       1898.35","     121416","           230490405.40","       7295","      40981","         33.75"
"DIVISLAB","EQ","07-Jul-2015","       1907.35","       1896.00","       1922.95","       1894.15","       1901.35","       1909.40","       1911.47","     120287","           229925308.25","      11197","      71395","         59.35"
"DIVISLAB","EQ","08-Jul-2015","       1909.40","       1895.00","       1920.10","       1880.00","       1880.00","       1887.90","       1895.94","      98206","           186193082.35","      11308","      51902","         52.85"
"DIVISLAB","EQ","09-Jul-2015","       1887.90","       1894.00","       1917.00","       1859.00","       1859.00","       1863.25","       1886.05","      89848","           169457427.10","       9925","      48077","         53.51"
"DIVISLAB","EQ","10-Jul-2015","       1863.25","       1874.85","       1888.30","       1861.00","       1874.90","       1876.45","       1874.15","      90803","           170178414.20","      16565","      51347","         56.55"
